source,seed,category,n,temporal_reliability_mean,cwt_reliability_mean
Te0,42,A_both_correct,43736,0.9922464482246333,0.9942409935782532
Te0,42,B_both_wrong,471,0.7966156059988204,0.7852758517957104
Te0,42,C_temporal_only,994,0.8670378376960244,0.46712260768392994
Te0,42,D_cwt_only,769,0.3857601572078195,0.7765460123032198
Te0,43,A_both_correct,43418,0.9164661217239829,0.6905613759889622
Te0,43,B_both_wrong,513,0.8146804542374593,0.7561327833239185
Te0,43,C_temporal_only,1545,0.7858144549200925,0.7002009686384699
Te0,43,D_cwt_only,494,0.7202056830375851,0.725175491477977
Te0,44,A_both_correct,42383,0.9478106140665763,0.8422299599560978
Te0,44,B_both_wrong,746,0.4887860196069699,0.5482872296165282
Te0,44,C_temporal_only,2215,0.6309303696485842,0.6880087433464689
Te0,44,D_cwt_only,626,0.6337892071311965,0.5069193406619484
Te0,45,A_both_correct,43377,0.9321370841585074,0.7206974289199278
Te0,45,B_both_wrong,482,0.7506699106341768,0.8032123346245872
Te0,45,C_temporal_only,1186,0.7321332151237461,0.6969895602919379
Te0,45,D_cwt_only,925,0.7162528919487485,0.7233346778081535
Te0,46,A_both_correct,44254,0.9813333743052512,0.8734091568033444
Te0,46,B_both_wrong,428,0.9120287276868236,0.8700545647774637
Te0,46,C_temporal_only,673,0.9024933565343134,0.8514064357767986
Te0,46,D_cwt_only,615,0.7637655847293677,0.7147713198349785
