source,seed,n,disagreement_rate,cwt_correct_given_disagreement,temporal_correct_given_disagreement,temporal_reliability_mean,cwt_reliability_mean,temporal_reliability_p10,temporal_reliability_p90,cwt_reliability_p10,cwt_reliability_p90
Te0,42,45970,0.03835109854252774,0.4361883153715258,0.5638116846284742,0.977389205602364,0.9770605346276543,0.9950522008137709,0.9994560279572448,0.9944362575487257,0.9999999978539476
Va0,42,3066,0.03816046966731898,0.452991452991453,0.5470085470085471,0.9742744481742625,0.9743932751839536,0.9914763151733552,0.9994560279572448,0.9931613680196504,0.999999936285856
Te0,43,45970,0.0443550141396563,0.2422756253065228,0.7577243746934772,0.9088301519753711,0.6919890609064713,0.6092375494131824,0.9999063652575835,0.05972641355007234,0.9974629366543454
Va0,43,3066,0.045662100456621,0.3142857142857143,0.6857142857142857,0.8849121699062472,0.6703467304365034,0.41861978134403244,0.9999569450793662,0.036286420437059486,0.9975063228263347
Te0,44,45970,0.061801174679138565,0.22034494896163323,0.7796550510383667,0.9208169336316347,0.8254628135714602,0.7985207897381558,0.99945700427127,0.19555890457649805,0.9994569136335841
Va0,44,3066,0.06588388780169602,0.23267326732673269,0.7673267326732673,0.9148401856077756,0.8175236521556103,0.7588283384148706,0.99945700427127,0.18290686003416573,0.9994569136335841
Te0,45,45970,0.045921252991081137,0.438180956892468,0.561819043107532,0.9207304136319036,0.7210040225152827,0.8102736930685254,0.9999922082583861,0.06430807992572424,0.9978874250406488
Va0,45,3066,0.05055446836268754,0.49032258064516127,0.5096774193548387,0.9071487032222741,0.7097296756035428,0.6934079634302261,0.999995448186398,0.052989793104233504,0.9980196015316136
Te0,46,45970,0.028018272786599956,0.47748447204968947,0.5225155279503105,0.9766232174355166,0.8709335016723138,0.9908148779503448,0.9992817628539896,0.06498792388771532,0.9999999992814906
Va0,46,3066,0.03228962818003914,0.5353535353535354,0.46464646464646464,0.9787660671061799,0.8663424436251072,0.9946004857717381,0.9992651970220419,0.052577028563674355,0.9999999988515712
