seed,Method,threshold,mcc,accuracy,precision,recall_tpr,specificity,fpr,f1,roc_auc,pr_auc,brier,ece_10_bins,errors,tn,fp,fn,tp
42,Temporal,0.33499999999999996,0.946531891528714,0.9730258864476833,0.9885858086550128,0.957102458124864,0.9889493147705025,0.011050685229497498,0.9725894159777179,0.9956047613880651,0.9962640663713419,0.023735210749033033,0.01734333727632783,1240,22731,254,986,21999
42,CWT,0.3549999999999999,0.9362697988865113,0.9681313900369807,0.9663257345930485,0.9700674352838808,0.9661953447900805,0.033804655209919515,0.96819296988645,0.9955062643355048,0.9959240165326998,0.02390364294968267,0.003605167498749789,1465,22208,777,688,22297
42,Average,0.4099999999999999,0.955187506938726,0.9775288231455297,0.9855348137662567,0.9692843158581683,0.9857733304328911,0.014226669567108984,0.977342019258187,0.9973873986633517,0.9977179449378472,0.01919551066905917,0.018342700268240524,1033,22658,327,706,22279
42,Best fixed,0.38499999999999995,0.9573981996278647,0.9786164890145748,0.98767621243018,0.9693278224929301,0.9879051555362193,0.012094844463780726,0.9784160024592143,0.9974160352470937,0.9977565465053791,0.019363624096206157,0.020119976136768986,983,22707,278,705,22280
42,Logistic stacking,0.49999999999999994,0.9563385180932874,0.9780726560800522,0.9878790569639924,0.9680226234500762,0.9881226887100283,0.01187731128997172,0.9778500483431485,0.9974216626225624,0.9977393719470827,0.01764010831126519,0.011185079302618941,1008,22712,273,735,22250
42,PoC3 gate,0.635,0.9544140462832602,0.9771372634326735,0.9854373229461756,0.9685882097019796,0.9856863171633674,0.014313682836632587,0.9769401233078088,0.9955175559965739,0.9961079156067617,0.02043233591137679,0.009209764257512083,1051,22656,329,722,22263
42,PoC4 reliability fusion,0.3449999999999999,0.9646315366777066,0.982271046334566,0.9889290755116443,0.9754622579943442,0.9890798346747879,0.010920165325212094,0.9821495060998313,0.9976516960276511,0.9979753183770107,0.015937039866459272,0.01547333853924722,815,22734,251,564,22421
42,PoC4 conservative reliability fusion,0.4049999999999999,0.9635654652798471,0.9816837067652817,0.9916514942937076,0.971546660865782,0.9918207526647814,0.00817924733521862,0.9814961322081576,0.9976587222024711,0.9979884137835114,0.015928474647558644,0.01649715551680805,842,22797,188,654,22331
42,Oracle,0.5,0.9796015436393947,0.9897541875135958,0.9966031409917063,0.9828583859038503,0.9966499891233414,0.0033500108766586906,0.9896830438306354,0.9897541875135959,0.9880905615898907,0.010245812486404177,0.010245812486404196,471,22908,77,394,22591
43,Temporal,0.10999999999999999,0.9564070597727456,0.9780944093974331,0.9885302747399306,0.967413530563411,0.9887752882314553,0.011224711768544704,0.9778579124431056,0.9948612389623918,0.9961111529514537,0.08246079099146757,0.1362455420591125,1007,22727,258,749,22236
43,CWT,0.19,0.9111162490454854,0.9552316728301066,0.9731404024417816,0.9363062867087231,0.9741570589514901,0.0258429410485099,0.9543680709534368,0.9849022428062981,0.988630348966685,0.20165086966724063,0.29424439338398317,2058,22391,594,1464,21521
43,Average,0.145,0.9638865644329483,0.981835979986948,0.9922222222222222,0.9712856210572113,0.9923863389166848,0.007613661083315205,0.9816422996592283,0.9956052298628141,0.9967228414277287,0.1220100391892365,0.21001263901235637,835,22810,175,660,22325
43,Best fixed,0.145,0.9638865644329483,0.981835979986948,0.9922222222222222,0.9712856210572113,0.9923863389166848,0.007613661083315205,0.9816422996592283,0.9956052298628141,0.9967228414277287,0.1220100391892365,0.21001263901235637,835,22810,175,660,22325
43,Logistic stacking,0.05,0.9412158884616215,0.969784642157929,0.9993063904559327,0.9402218838372852,0.999347400478573,0.0006525995214270176,0.968864181479904,0.9955896045737141,0.9967031661973621,0.0975232548784761,0.12725087439989866,1389,22970,15,1374,21611
43,PoC3 gate,0.5,0.9564070597727456,0.9780944093974331,0.9885302747399306,0.967413530563411,0.9887752882314553,0.011224711768544704,0.9778579124431056,0.9948612446408736,0.9961111598682476,0.08240022197575983,0.13618745073918476,1007,22727,258,749,22236
43,PoC4 reliability fusion,0.145,0.9642224760442243,0.9820100065259952,0.9920938082970596,0.971764194039591,0.9922558190123993,0.007744180987600609,0.9818237763467329,0.9949569384162497,0.9962762554891313,0.09281688397937929,0.15784423574733789,827,22807,178,649,22336
43,PoC4 conservative reliability fusion,0.145,0.9638778031917827,0.981835979986948,0.9920035539760107,0.9715031542310202,0.9921688057428758,0.007831194257124212,0.9816463347620618,0.9949649375042856,0.996279084852513,0.09290094444978374,0.15800000328787503,835,22805,180,655,22330
43,Oracle,0.5,0.9778795103973529,0.988840548183598,0.9988899742474026,0.978768762236241,0.9989123341309549,0.0010876658690450293,0.9887270090315775,0.9888405481835979,0.9882979225862003,0.011159451816402,0.011159451816401992,513,22960,25,488,22497
44,Temporal,0.11499999999999999,0.9403093278289465,0.9701544485534044,0.9697048724301299,0.9706330215357842,0.9696758755710245,0.03032412442897542,0.9701687249956514,0.9951002718147277,0.9958481208064308,0.043389275075250595,0.055422969014515766,1372,22288,697,675,22310
44,CWT,0.8049999999999999,0.871849933252228,0.9355884272351533,0.9534009600579658,0.9159451816402001,0.9552316728301066,0.04476832716989341,0.9342978232409523,0.984752584525503,0.9861802641427752,0.13174250508505994,0.2138100434997403,2961,21956,1029,1932,21053
44,Average,0.48499999999999993,0.9397863034823006,0.9696976288884055,0.9836484186004838,0.9552751794648684,0.9841200783119426,0.01587992168805743,0.9692541991303772,0.9942405544015355,0.9951480734568628,0.05445025601817378,0.13821559842209943,1393,22620,365,1028,21957
44,Best fixed,0.33999999999999997,0.9453007757418131,0.9725473134653034,0.9826260830926461,0.9621057211224712,0.9829889058081357,0.017011094191864258,0.9722576390415476,0.99526522130061,0.9959727951603169,0.04207811146612895,0.10491884040790478,1262,22594,391,871,22114
44,Logistic stacking,0.8849999999999999,0.9205092903375087,0.9589079834674787,0.9968908988128886,0.9206874048292365,0.9971285621057211,0.0028714378942788776,0.9572750096125574,0.9945707713682809,0.9953729685976865,0.032002424963693016,0.05190481830582359,1889,22919,66,1823,21162
44,PoC3 gate,0.885,0.940441062708039,0.9702197085055471,0.9693416710092062,0.9711551011529258,0.9692843158581683,0.03071568414183163,0.970247538739052,0.9948773346190678,0.9955498014438451,0.04195781110365369,0.05295422483395967,1369,22279,706,663,22322
44,PoC4 reliability fusion,0.57,0.9633605851155648,0.9815531868609964,0.9928752727434653,0.9700674352838808,0.9930389384381119,0.006961061561888188,0.9813388495224682,0.9963528152422187,0.9972125410618647,0.03140292373094577,0.10521505306916458,848,22825,160,688,22297
44,PoC4 conservative reliability fusion,0.5499999999999999,0.9633470382205361,0.9815749401783772,0.9915186500888099,0.9714596475962585,0.991690232760496,0.008309767239504025,0.9813866608065048,0.9972259859252204,0.9976501785707871,0.02729143459744626,0.08896116458663213,847,22794,191,656,22329
44,Oracle,0.5,0.9675950551540127,0.9837720252338482,0.9887907160754319,0.9786382423319556,0.9889058081357407,0.0110941918642593,0.9836882844273407,0.9837720252338481,0.9783492872482387,0.01622797476615184,0.016227974766151836,746,22730,255,491,22494
45,Temporal,0.11499999999999999,0.938900694039297,0.9693930824450728,0.9768408026164589,0.9615836415053296,0.9772025233848162,0.022797476615183814,0.9691521782026266,0.9941417279970305,0.9952191604315922,0.06528700468993873,0.09130557817785856,1407,22461,524,883,22102
45,CWT,0.21999999999999997,0.9278370637026561,0.9637154666086578,0.9778524994395875,0.9489232107896454,0.9785077224276703,0.02149227757232978,0.9631706778538308,0.9919291179723051,0.9934258070131654,0.17321149792649446,0.30419902656585635,1668,22491,494,1174,21811
45,Average,0.15499999999999997,0.9618177928404213,0.9808788340221883,0.986316437873988,0.975288231455297,0.9864694365890798,0.013530563410920165,0.9807713341937742,0.9969416965193131,0.9975158348915013,0.09748713849551263,0.19343031186668264,879,22674,311,568,22417
45,Best fixed,0.16499999999999998,0.9612680864143363,0.9806177942136176,0.9846025618529567,0.9765064172286274,0.9847291711986078,0.015270828801392211,0.9805377776806973,0.9968211442434225,0.9974310477378248,0.1091500723316764,0.2169280896436071,891,22634,351,540,22445
45,Logistic stacking,0.05,0.9552961216100704,0.9772677833369589,0.9970998731194489,0.9573199912986731,0.9972155753752447,0.002784424624755275,0.9768050962200076,0.9969949985351882,0.9975469718053195,0.06978330139740065,0.09173768520312,1045,22921,64,981,22004
45,PoC3 gate,0.645,0.9387720804363245,0.9693278224929301,0.9768377315121779,0.9614531216010441,0.9772025233848162,0.022797476615183814,0.9690843711629539,0.9941406755850694,0.9952180334091241,0.06530715432087285,0.09131731765036796,1410,22461,524,886,22099
45,PoC4 reliability fusion,0.15499999999999997,0.9633734061483604,0.9816619534479009,0.9865945850914205,0.976593430498151,0.9867304763976507,0.013269523602349358,0.9815685331350985,0.9970023389193348,0.9974929567960736,0.07324129924071945,0.14699884232584334,843,22680,305,538,22447
45,PoC4 conservative reliability fusion,0.15499999999999997,0.9633734061483604,0.9816619534479009,0.9865945850914205,0.976593430498151,0.9867304763976507,0.013269523602349358,0.9815685331350985,0.9970023389193348,0.9974929567960736,0.07324129924071945,0.14699884232584334,843,22680,305,538,22447
45,Oracle,0.5,0.9792059863015522,0.9895149010224059,0.9989799991130427,0.9800304546443332,0.9989993474004786,0.001000652599521427,0.989414503447973,0.9895149010224059,0.9890155953891843,0.010485098977594084,0.01048509897759409,482,22962,23,459,22526
46,Temporal,0.15499999999999997,0.9547782177431862,0.9773112899717207,0.9860877270713336,0.9682836632586469,0.9863389166847945,0.01366108331520557,0.9771045988365712,0.9946975311711976,0.9959956793125035,0.029969125396579466,0.03289332722312807,1043,22671,314,729,22256
46,CWT,0.12499999999999999,0.9522484931814003,0.9760495975636284,0.9846310567809372,0.9671959973896019,0.984903197737655,0.015096802262345008,0.975835656124487,0.9962249632779682,0.9968612795570032,0.09878570264514677,0.1698629849584636,1101,22638,347,754,22231
46,Average,0.13999999999999999,0.9641804781671524,0.9820317598433761,0.9896583727405313,0.9742440722210137,0.9898194474657386,0.010180552534261474,0.981890730509515,0.997515272395116,0.9979432735311278,0.049980648219243355,0.10636577537058627,826,22751,234,592,22393
46,Best fixed,0.15499999999999997,0.9648618692807569,0.9822927996519469,0.9941163360820147,0.9703284750924516,0.9942571242114423,0.005742875788557755,0.982078379568472,0.9977104418147499,0.9981079841072021,0.061598843728674225,0.12809636731856927,814,22853,132,682,22303
46,Logistic stacking,0.05,0.9605193732071389,0.9800087013269524,0.9960435212660732,0.9638459865129432,0.9961714161409615,0.0038285838590385035,0.9796802794790722,0.9975888711977892,0.9980053029124765,0.0354093411954688,0.04498202813856252,919,22897,88,831,22154
46,PoC3 gate,0.57,0.9539771781092221,0.9768979769414836,0.9863779562497227,0.9671524907548401,0.986643463128127,0.013356536871872961,0.9766706207987347,0.9946544561010533,0.9959565215349707,0.030108139489886207,0.03303524741782269,1062,22678,307,755,22230
46,PoC4 reliability fusion,0.15999999999999998,0.9614390879613735,0.9805742875788558,0.992685102586976,0.9682836632586469,0.9928649118990646,0.007135088100935392,0.9803325624931175,0.997303334418712,0.9977476291383721,0.03689737488793803,0.07612749285489509,893,22821,164,729,22256
46,PoC4 conservative reliability fusion,0.15499999999999997,0.9637125207242675,0.9817054600826626,0.9940651494868362,0.9691973025886448,0.9942136175766805,0.005786382423319556,0.9814737305870691,0.9974056701249724,0.9978397950694626,0.040956656884434096,0.0886930415083333,841,22852,133,708,22277
46,Oracle,0.5,0.9814778833683769,0.9906895801609745,0.9977492387130942,0.9835979986948009,0.9977811616271481,0.00221883837285186,0.9906230829900973,0.9906895801609745,0.9895851550500602,0.009310419839025452,0.00931041983902543,428,22934,51,377,22608
