bin,source,seed,expert,n,predicted_reliability,observed_accuracy
0.0,Te0,42,temporal,4597,0.7824364044602328,0.7509245159886883
1.0,Te0,42,temporal,4597,0.9973299944296012,0.9830324124428975
2.0,Te0,42,temporal,4597,0.9987180210954927,0.9973896019142919
3.0,Te0,42,temporal,4597,0.9990392796185381,0.999347400478573
4.0,Te0,42,temporal,4597,0.9992470705910047,0.999564933652382
5.0,Te0,42,temporal,4597,0.9993367821982602,1.0
6.0,Te0,42,temporal,4597,0.9994164197587753,1.0
7.0,Te0,42,temporal,4597,0.9994560279572448,1.0
8.0,Te0,42,temporal,4597,0.9994560279572448,1.0
9.0,Te0,42,temporal,4597,0.9994560279572448,1.0
0.0,Te0,42,cwt,4597,0.7749421185620574,0.7072003480530781
1.0,Te0,42,cwt,4597,0.9970865646612205,0.9802044811833804
2.0,Te0,42,cwt,4597,0.999077313848693,0.9954318033500109
3.0,Te0,42,cwt,4597,0.9996661622449007,0.9986948009571459
4.0,Te0,42,cwt,4597,0.999876996362761,1.0
5.0,Te0,42,cwt,4597,0.9999600816749737,1.0
6.0,Te0,42,cwt,4597,0.9999963210987983,0.999782466826191
7.0,Te0,42,cwt,4597,0.99999980488626,1.0
8.0,Te0,42,cwt,4597,0.9999999833056252,1.0
9.0,Te0,42,cwt,4597,0.999999999631253,1.0
0.0,Te0,43,temporal,4597,0.28616041684720367,0.9490972373286927
1.0,Te0,43,temporal,4597,0.8468186301602671,0.9310419839025451
2.0,Te0,43,temporal,4597,0.9781303786369889,0.9440939743310854
3.0,Te0,43,temporal,4597,0.9904048187295192,0.9745486186643463
4.0,Te0,43,temporal,4597,0.9942816017320114,0.9897759408309768
5.0,Te0,43,temporal,4597,0.9963733193055029,0.9945616706547749
6.0,Te0,43,temporal,4597,0.9977640057932273,0.998042201435719
7.0,Te0,43,temporal,4597,0.9988025250599322,0.999782466826191
8.0,Te0,43,temporal,4597,0.9995881797885673,1.0
9.0,Te0,43,temporal,4597,0.9999776437004912,1.0
0.0,Te0,43,cwt,4597,0.04868593204470565,0.999782466826191
1.0,Te0,43,cwt,4597,0.06742580033580389,0.997607135088101
2.0,Te0,43,cwt,4597,0.11763861855566791,0.9397433108549054
3.0,Te0,43,cwt,4597,0.7281837878841083,0.7689797694148358
4.0,Te0,43,cwt,4597,0.9830407642221678,0.9480095714596476
5.0,Te0,43,cwt,4597,0.9905032074979007,0.9749836850119643
6.0,Te0,43,cwt,4597,0.9937152187979682,0.9721557537524472
7.0,Te0,43,cwt,4597,0.9957687737618329,0.963671959973896
8.0,Te0,43,cwt,4597,0.9970597707548513,0.9873830759190777
9.0,Te0,43,cwt,4597,0.9978687352097061,1.0
0.0,Te0,44,temporal,4597,0.34590062207830835,0.8057428757885577
1.0,Te0,44,temporal,4597,0.9010950338498336,0.9153795953882967
2.0,Te0,44,temporal,4597,0.9753790703298305,0.9839025451381336
3.0,Te0,44,temporal,4597,0.9931801546573887,0.9973896019142919
